AUDITYEAR,DBKEY,EIN,AGENCY        
2018,       102261,742050245,00   
2018,       102309,742089103,00   
2018,       102318,742094204,00   
2018,       102323,742099402,84   
2018,       102334,742110755,00   
2018,       102371,742135991,00   
2018,       102430,742176836,00   
2018,       102437,742179169,00   
2018,       102442,742181456,00   
2018,       102449,742184186,00   
2018,       102467,742197942,00   
2018,       102494,742213539,00   
2018,       102501,742217350,00   
2018,       102529,742236387,00   
2018,       102556,742245337,00   
2018,       102556,742245337,14   
2018,       102557,742245935,00   
2018,       102563,742247344,00   
2018,       102563,742247344,14   
2018,       102564,742248470,00   
2018,        10257,130417693,00   
2018,        10257,130417693,10   
2018,       102605,742269704,00   
2018,       102606,742269739,00   
2018,       102635,742282021,00   
2018,       102655,742299267,00   
2018,       102658,742304542,00   
2018,       102662,742308695,00   
2018,       102688,742321009,00   
2018,       102690,742322589,00   
2018,       102701,742327454,00   
2018,       102712,742331826,00   
2018,       102724,742340684,00   
2018,       102724,742340684,93   
2018,       102729,742343340,00   
2018,       102760,742357970,00   
2018,       102763,742358732,00   
2018,       102783,742369020,00   
2018,       102792,742371957,00   
2018,       102807,742377531,00   
2018,       102825,742383052,00   
2018,       102859,742400626,00   
2018,       102891,742424633,00   
2018,       102905,742428192,00   
2018,       102909,742429518,00   
2018,       102915,742431303,00   
2018,         1029,020350051,00   
2018,       102974,742465160,00   
2018,       102974,742465160,14   
2018,       103000,742477108,00   
2018,       103008,742481167,00   
2018,       103009,680541648,00   
2018,       103009,680541648,93   
2018,         1030,020350170,00   
2018,       103029,742490203,00   
2018,       103051,742499946,00   
2018,       103065,742505561,00   
2018,       103069,742506745,00   
2018,       103081,742512591,00   
2018,       103154,742543881,00   
2018,       103190,742553409,00   
2018,       103217,742562293,00   
2018,       103219,742563260,00   
2018,       103220,742563411,00   
2018,       103240,742574527,00   
2018,       103240,742574527,10   
2018,       103240,742574527,93   
2018,       103261,742583211,00   
2018,       103279,742587818,00   
2018,       103353,742625371,00   
2018,       103353,742625371,93   
2018,       103391,742643545,00   
2018,       103455,742686783,00   
2018,       103455,742686783,10   
2018,       103481,742699491,00   
2018,       103486,742702323,00   
2018,       103554,746000426,00   
2018,         1036,020351932,00   
2018,       103790,746067937,00   
2018,       103811,746075213,00   
2018,       103811,746075213,93   
2018,        10394,131099420,00   
2018,       104175,750800631,00   
2018,       104185,750800653,00   
2018,       104198,750800689,00   
2018,       104199,750800691,00   
2018,       104199,750800691,84   
2018,       104214,750808776,00   
2018,       104215,750808785,00   
2018,       104217,750808791,84   
2018,       104221,750808811,00   
2018,       104235,750818183,84   
2018,       104240,750827409,00   
2018,       104240,750827409,84   
2018,       104243,750827421,84   
2018,       104248,750827465,00   
2018,       104248,750827465,84   
2018,       104254,750829389,93   
2018,       104277,750851900,84   
2018,       104282,750855633,00   
2018,       104286,750858360,00   
2018,       104289,750859668,00   
2018,       104289,750859668,84   
2018,       104290,750859801,00   
2018,       104293,521243220,00   
2018,       104331,750891443,00   
2018,       104333,750891463,00   
2018,       104335,750891465,00   
2018,       104335,750891465,84   
2018,       104352,750917417,00   
2018,       104354,750926755,00   
2018,       104379,750950119,00   
2018,       104387,750957351,00   
2018,       104432,750995027,00   
2018,       104444,751005357,00   
2018,       104478,751051193,84   
2018,       104496,751081109,00   
2018,       104496,751081109,84   
2018,       104497,751083102,00   
2018,       104501,751085555,00   
2018,       104573,751213282,00   
2018,       104585,751218257,00   
2018,       104595,751224978,00   
2018,       104596,751225576,00   
2018,       104598,751226261,00   
2018,       104599,751226644,00   
2018,       104609,751230219,00   
2018,       104613,751232080,00   
2018,       104650,751251339,00   
2018,       104671,751281410,00   
2018,       104673,751282040,00   
2018,       104689,751293383,00   
2018,       104691,751294355,00   
2018,       104812,751401776,00   
2018,       104819,751414940,00   
2018,       104840,751442393,00   
2018,       104891,751497010,00   
2018,       104894,751501868,00   
2018,       104919,751525201,00   
2018,         1049,020360151,00   
2018,       104923,751528614,00   
2018,       104923,751528614,93   
2018,       104928,751530863,00   
2018,       104928,751530863,20   
2018,       104952,751549067,00   
2018,       104975,751568798,00   
2018,       104977,751571205,00   
2018,       105004,751590896,00   
2018,       105007,751593441,00   
2018,       105010,751596658,84   
2018,       105025,751609328,00   
2018,       105025,751609328,93   
2018,       105049,751633066,00   
2018,       105072,751653080,00   
2018,       105072,751653080,14   
2018,       105085,061826451,00   
2018,       105087,751658883,00   
2018,       105087,751658883,14   
2018,       105097,751668309,00   
2018,       105100,751670281,00   
2018,       105114,751691230,00   
2018,        10512,131562242,00   
2018,       105136,751718442,00   
2018,       105147,751728505,00   
2018,       105152,751734175,00   
2018,       105185,751766178,00   
2018,       105186,751766997,00   
2018,       105204,751785357,00   
2018,       105241,751821147,00   
2018,       105242,751822473,00   
2018,       105337,751892059,00   
2018,       105356,751904829,00   
2018,       105410,751964233,00   
2018,         1054,020362579,00   
2018,       105465,751963242,84   
2018,       105472,752017961,00   
2018,       105472,752017961,14   
2018,       105497,752042074,00   
2018,       105500,752044117,00   
2018,       105524,752057692,00   
2018,       105561,752098992,00   
2018,       105561,752098992,93   
2018,       105574,752113670,00   
2018,       105582,752123252,00   
2018,       105590,752127267,00   
2018,       105653,752184369,00   
2018,       105707,752222686,00   
2018,        10571,131623838,00   
2018,       105730,752241382,00   
2018,       105747,752247281,00   
2018,       105747,752247281,93   
2018,       105759,752251099,00   
2018,       105840,752297098,00   
2018,        10590,131623892,00   
2018,       105910,752341194,00   
2018,       106000,752399903,00   
2018,       106005,752401109,00   
2018,       106014,752405203,93   
2018,       106042,752429644,00   
2018,        10608,131623965,00   
2018,       106110,752484565,00   
2018,        10613,131623989,00   
2018,        10621,131624009,00   
2018,        10621,131624009,14   
2018,         1062,020368776,00   
2018,       106315,756000439,00   
2018,       106316,756000450,00   
2018,       106318,756001300,00   
2018,        10633,131624046,12   
2018,        10633,131624046,19   
2018,        10633,131624046,21   
2018,        10633,131624046,93   
2018,        10633,131624046,98   
2018,       106345,756005093,00   
2018,        10636,131624060,00   
2018,        10636,131624060,93   
2018,        10638,131624067,00   
2018,       106527,756049423,00   
2018,        10654,131624102,00   
2018,       106550,756053898,00   
2018,       106550,756053898,93   
2018,       106551,756053899,00   
2018,        10664,131624123,00   
2018,        10664,131624123,93   
2018,       106693,760009637,00   
2018,       106707,760031827,00   
2018,       106708,760031861,00   
2018,       106711,760032451,00   
2018,       106735,760050882,00   
2018,       106743,760061208,00   
2018,       106754,760067885,00   
2018,       106764,760074326,00   
2018,        10677,131624158,00   
2018,       106774,760088702,00   
2018,         1068,020377315,00   
2018,        10682,131624178,00   
2018,       106854,760171217,00   
2018,       106881,760196608,00   
2018,       106881,760196608,14   
2018,       106883,760196908,00   
2018,        10689,131624202,00   
2018,       106923,760228065,00   
2018,       106948,760242189,00   
2018,       106961,760252589,84   
2018,       106968,760257018,00   
2018,        10698,131624225,00   
2018,        10699,131624228,00   
2018,        10705,131624238,84   
2018,       107075,760318867,00   
2018,        10716,131628149,84   
2018,        10721,131628174,00   
2018,        10724,131628180,00   
2018,       107269,760461428,14   
2018,        10728,131628206,00   
2018,       107309,770000699,00   
2018,       107312,770002095,00   
2018,       107317,770003788,00   
2018,        10732,131628688,00   
2018,       107340,770018062,00   
2018,        10734,131632522,84   
2018,        10734,131632522,93   
2018,       107347,770026968,00   
2018,       107387,770055747,00   
2018,       107515,770150652,00   
2018,       107519,770153208,00   
2018,       107530,770160469,00   
2018,       107550,770169214,00   
2018,       107550,770169214,10   
2018,        10757,131641068,00   
2018,       107584,770195022,00   
2018,        10759,131641075,00   
2018,       107612,770207331,00   
2018,       107619,770213467,00   
2018,       107694,770263702,00   
2018,       107696,770266612,00   
2018,       107712,770270228,00   
2018,       107731,770282561,00   
2018,       107796,770320851,00   
2018,        10780,131656647,00   
2018,       107807,770326685,00   
2018,       107835,770351235,00   
2018,        10786,131656667,00   
2018,        10788,131656674,00   
2018,       107889,770387459,00   
2018,       107899,770393055,00   
2018,       107899,770393055,14   
2018,        10790,131656681,00   
2018,        10791,131656692,00   
2018,        10791,131656692,98   
2018,        10798,131659345,00   
2018,        10800,131659623,00   
2018,       108013,810231774,00   
2018,       108015,810231777,84   
2018,       108031,810232125,00   
2018,       108039,810235407,00   
2018,       108090,810295420,00   
2018,       108091,810295613,00   
2018,        10809,131662715,00   
2018,       108092,810295813,00   
2018,       108098,810298262,00   
2018,       108098,810298262,09   
2018,       108102,810300207,00   
2018,       108108,810302638,00   
2018,       108118,810304870,00   
2018,       108119,810304887,00   
2018,       108135,810309542,00   
2018,       108135,810309542,93   
2018,       108138,810330646,00   
2018,       108140,810332017,00   
2018,       108144,810332661,00   
2018,       108147,810333275,00   
2018,       108149,810339355,00   
2018,       108155,810343791,00   
2018,       108157,810345779,00   
2018,       108168,810349437,00   
2018,       108172,810350430,00   
2018,       108175,810350886,00   
2018,       108177,810351900,10   
2018,       108177,810351900,15   
2018,       108177,810351900,43   
2018,       108177,810351900,45   
2018,       108177,810351900,47   
2018,       108177,810351900,84   
2018,       108181,810358311,00   
2018,       108184,810359400,00   
2018,       108187,810360391,00   
2018,       108191,810361047,00   
2018,       108212,810367074,00   
2018,       108213,810368588,00   
2018,       108225,810372115,00   
2018,       108225,810372115,14   
2018,       108227,810372577,00   
2018,       108237,810378823,00   
2018,       108238,810378943,15   
2018,       108238,810378943,84   
2018,       108239,810379543,00   
2018,       108243,810382167,00   
2018,       108247,810383437,00   
2018,       108260,810389825,00   
2018,       108278,810394623,00   
2018,       108280,810397037,00   
2018,       108282,810398508,93   
2018,       108307,810415668,00   
2018,       108311,810420650,00   
2018,       108331,810432169,00   
2018,       108357,810465605,00   
2018,       108357,810465605,10   
2018,       108357,810465605,14   
2018,       108359,810467431,00   
2018,       108387,810500256,00   
2018,       108418,816035382,00   
2018,       108493,820200906,84   
2018,       108494,820200907,84   
2018,       108500,820202255,00   
2018,       108529,820250389,00   
2018,       108546,820263863,00   
2018,       108551,820277836,00   
2018,       108554,820288410,00   
2018,       108554,820288410,11   
2018,       108562,820293641,00   
2018,       108569,820297279,00   
2018,       108574,820299736,00   
2018,       108575,820300537,00   
2018,       108581,820303883,00   
2018,       108584,820306372,00   
2018,       108598,820324100,00   
2018,       108598,820324100,93   
2018,       108600,820327558,00   
2018,        10860,131685039,00   
2018,       108608,820334493,00   
2018,       108617,820341110,00   
2018,       108646,820371093,00   
2018,       108646,820371093,93   
2018,       108647,820371383,00   
2018,       108647,820371383,93   
2018,       108648,820372009,00   
2018,       108648,820372009,93   
2018,       108649,820372645,00   
2018,       108680,820408564,00   
2018,       108709,820439164,00   
2018,       108764,826009826,00   
2018,         1088,020222118,00   
2018,        10883,131693134,45   
2018,        10883,131693134,47   
2018,       108850,830199695,00   
2018,       108855,830204953,00   
2018,       108855,830204953,93   
2018,       108871,830214153,00   
2018,       108874,830215226,00   
2018,       108882,830247440,00   
2018,       108882,830247440,14   
2018,       108889,830222330,00   
2018,       108892,830222566,00   
2018,       108896,830228594,00   
2018,       108896,830228594,94   
2018,       108914,830236172,00   
2018,       108943,830249203,00   
2018,       108958,830274980,00   
2018,       109097,840215800,00   
2018,       109204,840402510,84   
2018,       109211,840402702,00   
2018,       109213,840402707,00   
2018,       109221,840404231,84   
2018,       109223,840404233,00   
2018,       109269,840412668,00   
2018,       109286,840420225,00   
2018,       109321,840442429,00   
2018,       109321,840442429,84   
2018,       109367,840474717,00   
2018,       109428,850520493,00   
2018,       109428,850520493,93   
2018,       109495,840575941,00   
2018,       109501,840576978,00   
2018,       109528,840593609,00   
2018,       109563,840611876,00   
2018,       109566,840613289,00   
2018,       109568,840613540,00   
2018,       109568,840613540,93   
2018,       109573,840615347,00   
2018,       109574,840615445,00   
2018,       109580,840617567,00   
2018,       109583,840617972,00   
2018,       109593,840622557,00   
2018,       109594,840622660,00   
2018,       109600,264166271,00   
2018,       109612,840631483,00   
2018,       109621,300056876,00   
2018,       109624,840640326,00   
2018,       109634,840644270,00   
2018,       109675,840683346,00   
2018,       109675,840683346,14   
2018,       109677,840685056,00   
2018,       109678,840686679,00   
2018,        10969,131739923,00   
2018,       109697,840705495,00   
2018,       109700,840705890,00   
2018,       109702,840706945,00   
2018,       109702,840706945,93   
2018,       109739,840724261,00   
2018,       109739,840724261,93   
2018,       109750,840730973,00   
2018,       109754,840732616,00   
2018,        10976,131739945,00   
2018,       109772,840742145,93   
2018,       109775,840743432,00   
2018,       109885,840809393,00   
2018,       109886,840810723,00   
2018,       109898,840820084,00   
2018,       109918,840837786,00   
2018,       109945,840865803,00   
2018,       109945,840865803,12   
2018,       109954,840879892,00   
2018,       109981,840910590,00   
2018,       109988,840921521,93   
2018,       109990,840922797,00   
2018,       110019,840951575,00   
2018,       110025,840961159,00   
2018,       110108,841071825,00   
2018,       110111,841074423,00   
2018,       110150,841114455,00   
2018,       110176,841125631,00   
2018,       110176,841125631,10   
2018,       110267,841182143,00   
2018,       110267,841182143,64   
2018,        11031,131740285,00   
2018,       110316,841212246,00   
2018,       110323,841215290,00   
2018,        11036,131740443,00   
2018,        11037,131740445,00   
2018,        11037,131740445,84   
2018,        11038,131740447,84   
2018,        11038,131740447,93   
2018,        11039,131740448,00   
2018,        11045,131740468,00   
2018,        11045,131740468,84   
2018,        11046,131740469,00   
2018,        11046,131740469,84   
2018,       110617,846050523,00   
2018,        11067,131760102,00   
2018,        11074,201078564,00   
2018,       110762,850110070,14   
2018,       110762,850110070,97   
2018,       110766,850110669,93   
2018,       110826,850164940,84   
2018,       110837,850168672,00   
2018,       110837,850168672,17   
2018,       110841,850194018,00   
2018,       110841,850194018,93   
2018,       110851,850196493,93   
2018,       110852,850196667,00   
2018,       110853,850196692,00   
2018,       110853,850196692,10   
2018,       110853,850196692,93   
2018,       110858,850197752,00   
2018,       110879,850204500,00   
2018,       110880,850204963,00   
2018,       110880,850204963,93   
2018,       110886,850206810,00   
2018,       110886,850206810,93   
2018,       110899,850211912,00   
2018,       110899,850211912,14   
2018,       110907,850213474,00   
2018,       110924,850220875,93   
2018,       110926,850222386,00   
2018,       110940,850227016,00   
2018,       110972,850242402,00   
2018,       110972,850242402,14   
2018,       110979,850246036,93   
2018,       110982,850247473,00   
2018,       110987,850249591,00   
2018,       110998,850254535,00   
2018,       111001,850255630,00   
2018,       111022,850265533,00   
2018,       111036,850271348,00   
2018,       111045,850275385,00   
2018,       111050,850276496,00   
2018,       111084,850291313,00   
2018,       111085,850291314,00   
2018,       111093,850294695,00   
2018,       111103,850300494,00   
2018,       111110,850303705,00   
2018,       111129,850311615,00   
2018,       111152,850324625,00   
2018,       111177,850336893,00   
2018,       111191,850346325,00   
2018,       111194,860346497,00   
2018,       111194,860346497,15   
2018,       111233,850367809,00   
2018,       111233,850367809,59   
2018,       111235,850368993,00   
2018,       111235,850368993,14   
2018,       111276,850386324,00   
2018,       111277,850386818,00   
2018,       111277,850386818,93   
2018,       111290,850395073,00   
2018,       111290,850395073,15   
2018,       111332,850418280,00   
2018,        11135,131804349,00   
2018,       111383,856013260,00   
2018,       111494,860096772,00   
2018,       111514,860098918,00   
2018,       111519,860098929,00   
2018,       111519,860098929,93   
2018,       111534,860104415,00   
2018,       111553,860110967,00   
2018,       111566,114438161,17   
2018,       111587,860133770,00   
2018,       111596,860138043,11   
2018,       111596,860138043,12   
2018,       111596,860138043,43   
2018,       111596,860138043,47   
2018,       111596,860138043,81   
2018,       111602,860143449,00   
2018,       111606,860146520,00   
2018,       111619,860166615,00   
2018,       111619,860166615,09   
2018,       111652,860186050,84   
2018,        11166,131832448,00   
2018,       111675,860199202,00   
2018,       111688,860204557,00   
2018,       111693,860206928,00   
2018,       111695,860207274,00   
2018,       111695,860207274,14   
2018,       111709,860210481,00   
2018,       111721,860212873,00   
2018,       111727,860214457,00   
2018,       111728,860215009,00   
2018,       111729,860215065,00   
2018,       111749,860223999,00   
2018,       111753,861008290,00   
2018,       111758,860227210,00   
2018,       111765,860251307,00   
2018,       111766,860251768,00   
2018,       111769,860252302,00   
2018,       111783,860256667,00   
2018,       111792,860264390,00   
2018,       111794,362261258,00   
2018,       111794,362261258,14   
2018,       111798,860268489,00   
2018,       111801,860271216,00   
2018,       111821,860285857,00   
2018,       111824,860287464,00   
2018,       111824,860287464,45   
2018,       111829,860290033,00   
2018,       111839,860292421,00   
2018,       111840,860293585,00   
2018,       111841,860294012,00   
2018,       111843,860296211,00   
2018,       111851,860300832,00   
2018,       111859,860311619,00   
2018,       111861,860312162,00   
2018,       111863,860314595,00   
2018,       111867,860318085,00   
2018,       111867,860318085,14   
2018,       111903,860342859,00   
2018,       111904,860343181,00   
2018,       111909,860350153,00   
2018,       111911,860351566,00   
2018,       111914,860354970,00   
2018,       111917,860357745,00   
2018,       111924,860363717,00   
2018,       111941,860380470,00   
2018,       111957,860397693,00   
2018,       111965,860407179,00   
2018,       111971,860411904,00   
2018,       111996,860433280,00   
2018,       112017,860456124,00   
2018,       112025,860462784,00   
2018,       112049,860485021,00   
2018,       112051,860486447,00   
2018,       112051,860486447,93   
2018,       112063,860494702,00   
2018,       112064,860498020,00   
2018,       112064,860498020,93   
2018,       112065,860500753,00   
2018,       112068,860504956,00   
2018,       112073,860511863,00   
2018,       112084,860521062,14   
2018,       112084,860521062,64   
2018,       112087,860524321,00   
2018,       112093,860536693,00   
2018,       112114,860554593,00   
2018,       112116,860555102,00   
2018,       112120,860558407,00   
2018,       112141,860583430,00   
2018,       112168,860609307,00   
2018,       112174,860615622,00   
2018,       112219,860660875,00   
2018,       112220,860661151,00   
2018,       112220,860661151,14   
2018,       112226,860665712,00   
2018,       112232,860669087,00   
2018,       112265,860695734,10   
2018,       112265,860695734,16   
2018,        11228,131860451,00   
2018,       112308,860733182,00   
2018,       112334,860761421,00   
2018,       112387,866006566,00   
2018,       112387,866006566,17   
2018,        11243,131867411,00   
2018,       112457,866053462,00   
2018,       112558,870212451,00   
2018,       112559,870212453,00   
2018,       112564,870212465,00   
2018,       112565,870212467,00   
2018,       112567,870212470,84   
2018,       112572,870213074,00   
2018,       112581,870217443,00   
2018,        11261,131878704,00   
2018,       112671,870269683,00   
2018,       112671,870269683,93   
2018,       112677,870272159,00   
2018,       112681,870275486,00   
2018,       112692,870280678,00   
2018,       112692,870280678,84   
2018,       112698,870285967,00   
2018,       112702,870288909,93   
2018,       112705,870290963,00   
2018,       112708,870292487,00   
2018,       112713,870296262,00   
2018,       112715,870298910,00   
2018,       112730,870310109,00   
2018,       112730,870310109,93   
2018,       112739,870333555,00   
2018,       112746,870342445,00   
2018,        11277,131887440,00   
2018,       112803,870416731,00   
2018,       112809,870421105,00   
2018,       112809,870421105,10   
2018,       112818,870430946,00   
2018,       112822,870438519,00   
2018,       112848,870461951,00   
2018,       112864,870476889,00   
2018,       112867,870478541,00   
2018,       112896,870500037,00   
2018,       112930,870540039,00   
2018,       112971,876124938,00   
2018,        11304,131915124,00   
2018,        11304,131915124,16   
2018,       113051,880059425,00   
2018,        11308,131916574,00   
2018,       113095,880093150,00   
2018,       113095,880093150,93   
2018,       113099,880095799,00   
2018,       113099,880095799,93   
2018,       113108,880108496,00   
2018,       113117,880114925,00   
2018,       113121,880116801,00   
2018,       113126,880121831,00   
2018,       113129,880124514,00   
2018,       113201,880229367,00   
2018,       113267,880306804,00   
2018,       113277,880327392,00   
2018,       113416,910236600,00   
2018,        11343,131932384,00   
2018,       113584,910473310,84   
2018,       113590,910482710,00   
2018,       113591,910482890,00   
2018,        11364,131941627,00   
2018,       113665,910564748,00   
2018,       113665,910564748,93   
2018,       113670,910564961,84   
2018,       113678,910564993,00   
2018,       113680,910565006,84   
2018,       113680,910565006,93   
2018,       113682,910565014,00   
2018,       113688,910565026,00   
2018,       113691,910565539,00   
2018,       113695,910565553,00   
2018,       113695,910565553,84   
2018,       113700,910565571,00   
2018,       113700,910565571,84   
2018,       113705,910567263,00   
2018,       113711,910567740,00   
2018,       113711,910567740,84   
2018,       113725,910569882,00   
2018,       113741,910575955,00   
2018,       113750,910578229,00   
2018,       113809,910615846,00   
2018,       113814,910617727,00   
2018,        11382,131949477,00   
2018,       113850,910653422,00   
2018,       113869,910666889,00   
2018,       113869,910666889,14   
2018,       113879,910672501,00   
2018,       113969,910750867,00   
2018,       114019,910783225,00   
2018,       114032,910787820,00   
2018,       114035,910789105,00   
2018,       114041,910791411,00   
2018,       114041,910791411,94   
2018,       114050,910793447,00   
2018,       114051,910793597,00   
2018,       114056,910814162,00   
2018,       114064,910816827,00   
2018,       114067,910818368,00   
2018,       114118,910836375,00   
2018,       114138,910844071,00   
2018,       114159,910853408,00   
2018,       114159,910853408,93   
2018,       114161,910853801,00   
2018,       114169,910856761,14   
2018,       114191,910869056,00   
2018,       114191,910869056,93   
2018,       114207,910873623,00   
2018,       114214,910877707,00   
2018,       114214,910877707,14   
2018,       114219,910880684,10   
2018,       114219,910880684,12   
2018,       114219,910880684,15   
2018,       114219,910880684,94   
2018,       114223,910884412,00   
2018,       114223,910884412,93   
2018,       114236,910889016,00   
2018,       114243,910893287,00   
2018,       114247,910896701,00   
2018,       114257,910903529,00   
2018,       114261,910912180,00   
2018,       114275,910910680,00   
2018,       114284,910916176,00   
2018,       114286,910916534,84   
2018,       114289,910917079,00   
2018,       114297,910928817,00   
2018,       114297,910928817,93   
2018,       114301,910933023,00   
2018,       114308,910947084,00   
2018,       114318,910956784,00   
2018,       114323,910961784,00   
2018,       114323,910961784,12   
2018,       114323,910961784,47   
2018,       114323,910961784,93   
2018,       114333,910856953,00   
2018,       114336,910967836,00   
2018,       114352,910976520,00   
2018,       114352,910976520,14   
2018,       114364,910982918,00   
2018,        11438,131972876,00   
2018,       114404,911009419,00   
2018,       114421,911016974,00   
2018,       114425,911019392,00   
2018,       114426,911019655,00   
2018,       114429,911020139,00   
2018,       114440,911028928,00   
2018,       114444,911032846,00   
2018,       114446,911034030,00   
2018,       114446,911034030,14   
2018,       114450,911036794,00   
2018,       114450,911036794,84   
2018,       114459,911040643,00   
2018,       114462,911043304,00   
2018,       114479,911053847,00   
2018,       114479,911053847,93   
2018,       114495,911065249,00   
2018,       114556,911099134,00   
2018,       114583,911112286,00   
2018,       114590,911116355,00   
2018,       114590,911116355,93   
2018,       114595,911117250,00   
2018,       114601,911122621,00   
2018,       114648,911148123,00   
2018,       114674,911157127,98   
2018,       114688,911160585,00   
2018,       114759,911190193,00   
2018,        11478,131988190,00   
2018,       114799,911215715,00   
2018,       114808,911218639,00   
2018,       114808,911218639,93   
2018,       114809,911220150,00   
